Environment Id,Observation Space,Action Space,Reward Range,tStepL,Trials,rThresh
MountainCar-v0,"Box(2,)",Discrete(3),"(-inf, inf)",200,100,-110.0
MountainCarContinuous-v0,"Box(2,)","Box(1,)","(-inf, inf)",999,100,90.0
Pendulum-v0,"Box(3,)","Box(1,)","(-inf, inf)",200,100,None
CartPole-v0,"Box(4,)",Discrete(2),"(-inf, inf)",200,100,195.0
CartPole-v1,"Box(4,)",Discrete(2),"(-inf, inf)",500,100,475.0
Acrobot-v1,"Box(6,)",Discrete(3),"(-inf, inf)",500,100,-100.0
LunarLander-v2,"Box(8,)",Discrete(4),"(-inf, inf)",1000,100,200
LunarLanderContinuous-v2,"Box(8,)","Box(2,)","(-inf, inf)",1000,100,200
MemorizeDigits-v0,"Box(24, 32, 3)",Discrete(10),"(-inf, inf)",None,100,20
BipedalWalker-v2,"Box(24,)","Box(4,)","(-inf, inf)",1600,100,300
BipedalWalkerHardcore-v2,"Box(24,)","Box(4,)","(-inf, inf)",2000,100,300
CubeCrash-v0,"Box(40, 32, 3)",Discrete(3),"(-inf, inf)",None,100,0.9
CubeCrashSparse-v0,"Box(40, 32, 3)",Discrete(3),"(-inf, inf)",None,100,0.9
CubeCrashScreenBecomesBlack-v0,"Box(40, 32, 3)",Discrete(3),"(-inf, inf)",None,100,0.9
CarRacing-v0,"Box(96, 96, 3)","Box(3,)","(-inf, inf)",1000,100,900
Adventure-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
Adventure-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Adventure-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Adventure-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Adventure-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Adventure-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
AirRaid-ram-v0,"Box(128,)",Discrete(6),"(-inf, inf)",10000,100,None
AirRaid-ram-v4,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
AirRaid-ramDeterministic-v0,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
AirRaid-ramDeterministic-v4,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
AirRaid-ramNoFrameskip-v0,"Box(128,)",Discrete(6),"(-inf, inf)",400000,100,None
AirRaid-ramNoFrameskip-v4,"Box(128,)",Discrete(6),"(-inf, inf)",400000,100,None
Alien-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
Alien-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Alien-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Alien-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Alien-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Alien-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Amidar-ram-v0,"Box(128,)",Discrete(10),"(-inf, inf)",10000,100,None
Amidar-ram-v4,"Box(128,)",Discrete(10),"(-inf, inf)",100000,100,None
Amidar-ramDeterministic-v0,"Box(128,)",Discrete(10),"(-inf, inf)",100000,100,None
Amidar-ramDeterministic-v4,"Box(128,)",Discrete(10),"(-inf, inf)",100000,100,None
Amidar-ramNoFrameskip-v0,"Box(128,)",Discrete(10),"(-inf, inf)",400000,100,None
Amidar-ramNoFrameskip-v4,"Box(128,)",Discrete(10),"(-inf, inf)",400000,100,None
Assault-ram-v0,"Box(128,)",Discrete(7),"(-inf, inf)",10000,100,None
Assault-ram-v4,"Box(128,)",Discrete(7),"(-inf, inf)",100000,100,None
Assault-ramDeterministic-v0,"Box(128,)",Discrete(7),"(-inf, inf)",100000,100,None
Assault-ramDeterministic-v4,"Box(128,)",Discrete(7),"(-inf, inf)",100000,100,None
Assault-ramNoFrameskip-v0,"Box(128,)",Discrete(7),"(-inf, inf)",400000,100,None
Assault-ramNoFrameskip-v4,"Box(128,)",Discrete(7),"(-inf, inf)",400000,100,None
